,title,sub_title,description
0,Environmental Pollution: Everything You Need to Know,What Is Environmental Pollution?,"The US Environmental Protection Agency (EPA) defines pollution as “any substances in water, soil, or air that degrades the natural quality of the environment; offends [the senses]; causes a health hazard; or [impairs] the usefulness of natural resources.”"
1,Environmental Pollution: Everything You Need to Know,What Is Environmental Pollution?,"Put simply, pollution is any substance that causes harm upon entering the environment."
2,Environmental Pollution: Everything You Need to Know,What Is Environmental Pollution?,"There are many ways to classify pollution, but one common framework distinguishes “point source” – or pollution that comes from a single identifiable source – from “non-point source,” which is trickier to pin down."
3,Environmental Pollution: Everything You Need to Know,What Is Environmental Pollution?,Smokestacks from power plants emit carbon dioxide and particulate matter. Leakage from gasoline storage tanks. Discharge pipes at a wastewater treatment plant. A drainage ditch on a feedlot that seeps into groundwater – These are all examples of point-source pollution.
4,Environmental Pollution: Everything You Need to Know,What Is Environmental Pollution?,"Nonpoint-source pollution, by contrast, is wider spread, originating from many sources spanning large areas. For example, agricultural runoff containing fertilizers, pesticides, and particulate matter from thousands of acres of farmland is considered a non-point source. Urban and suburban runoff containing oil, grease, pet waste and other hazardous materials is also non-point source pollution."
5,Environmental Pollution: Everything You Need to Know,What Is Environmental Pollution?,"That said, there are many types of pollution that cause a wide range of environmental problems. The list that follows offers a glimpse into several of these types."
6,Environmental Pollution: Everything You Need to Know,7 Types of Pollution and Their Causes,"The main causes of environmental pollution include urbanization and industrialization, agricultural activities, mining, burning of fossil fuels, plastic and particulate matter. These all contribute to the following:"
7,Environmental Pollution: Everything You Need to Know,Environmental Pollution and Farming,"From pesticides to fertilizer runoff, from greenhouse gas emissions to harmful particulates, the by-products of modern agriculture can have unintended consequences for ecosystems and human health."
8,Environmental Pollution: Everything You Need to Know,Environmental Pollution and Farming,"As mentioned, agriculture can be a source of non-point source water pollution, causing algal blooms, but can also contribute to air pollution, soil pollution, noise pollution, and even plastic pollution. Several causes of agricultural pollution include:"
9,Environmental Pollution: Everything You Need to Know,Environmental Pollution and Farming,"Particulate matter erodes from farm fields and enters waterways as runoff, causing sedimentation (i.e. the clouding of water) and subsequent harm to aquatic ecosystems. Agrochemicals such as pesticides that contaminate soil, directly damaging above- and below-ground ecosystems."
10,Environmental Pollution: Everything You Need to Know,Environmental Pollution and Farming,"The manufacturing of agrochemicals — especially synthetic nitrogen — is a large contributor to greenhouse gas emissions. Agricultural plastics used for weed control, representing over 12 million tons annually, are often not disposed of properly. In many cases, these plastics find their way into ecosystems and soil as microplastics."
11,Environmental Pollution: Everything You Need to Know,Environmental Pollution and Farming,"Although agricultural pollution is grave, the issue is not without solutions. You can learn more about agricultural pollution, as well as how to minimize your farm’s environmental footprint, here."
12,Environmental Pollution: Everything You Need to Know,INDUSTRIES,
13,Environmental Pollution: Everything You Need to Know,INDUSTRIES,FarmsEnterprise FarmsCooperativesFood & BeveragesBanksInput ManufacturersAgronomic Advisory
14,Environmental Pollution: Everything You Need to Know,PRODUCTS,
15,Environmental Pollution: Everything You Need to Know,PRODUCTS,AGRIVI 360 FamilyFarm InsightsFarm EnterpriseFarm AdvisoryAgriculture Supply ChainAGRIVI EngageAGRIVI EdAGRIVI loT FamilyFleetMeteoSoil
16,Environmental Pollution: Everything You Need to Know,COMPANY,
17,Environmental Pollution: Everything You Need to Know,COMPANY,About UsCareersContact UsPartner ProgramDealer ProgramSolution Program
18,Environmental Pollution: Everything You Need to Know,RESOURCES,
19,Environmental Pollution: Everything You Need to Know,RESOURCES,ROI CalculatorFarm Digitalization ScoreBlogNewsCase StudiesGet a DemoLog In
20,Environmental Pollution: Everything You Need to Know,GET A DEMO,
21,Environmental Pollution: Everything You Need to Know,LOG IN,
22,Environmental Pollution: Everything You Need to Know,Air pollution,"Air pollution is caused by harmful gases and aerosols (solids and liquids suspended in the air) that are released through both natural processes and human activities. Wildfires and volcanoes, for example, release particulate matter and greenhouse gases into the atmosphere. A majority of air pollution, however, is generated by human activities, including the burning of fossil fuels like coal, natural gas, and oil for electricity, transportation, and industry."
23,Environmental Pollution: Everything You Need to Know,Air pollution,Common air pollutants include:
24,Environmental Pollution: Everything You Need to Know,Air pollution,"Particulate matter (dust, dirt, soot, smoke, etc.)Direct greenhouse gases such as methane (CH4), carbon dioxide (CO2), and nitrous oxide (CH4), trap heat in the atmosphere and contribute to climate change.Indirect greenhouse gases such as carbon monoxide, sulfur dioxide, and volatile organic compounds (VOCs), are released during the burning of fossil fuels and biomass (e.g. wood). These compounds chemically react in the atmosphere to form more dangerous substances that intensify climate change and harm human health."
25,Environmental Pollution: Everything You Need to Know,Water pollution,"Water is an important natural resource that is crucial to all life on earth, though only .5% of earth’s water is fresh, accessible, and drinkable."
26,Environmental Pollution: Everything You Need to Know,Water pollution,"Water pollution in the form of microbial pathogens, nutrients, and hazardous substances contaminates both freshwater and saltwater ecosystems, harming aquatic life and public health."
