,title,sub_title,description
0,Air Pollution and Your Health,Introduction,
1,Air Pollution and Your Health,Introduction,"Air Pollution
Air pollution is a familiar environmental health hazard. We know what we’re looking at when brown haze settles over a city, exhaust billows across a busy highway, or a plume rises from a smokestack. Some air pollution is not seen, but its pungent smell alerts you.
It is a major threat to global health and prosperity. Air pollution, in all forms, is responsible for more than 6.5 million deaths each year globally, a number that has increased over the past two decades.
What Is Air Pollution?
Air pollution is a mix of hazardous substances from both human-made and natural sources.
Vehicle emissions, fuel oils and natural gas to heat homes, by-products of manufacturing and power generation, particularly coal-fueled power plants, and fumes from chemical production are the primary sources of human-made air pollution.
Nature releases hazardous substances into the air, such as smoke from wildfires, which are often caused by people; ash and gases from volcanic eruptions; and gases, like methane, which are emitted from decomposing organic matter in soils.
Traffic-Related Air Pollution (TRAP), a mixture of gasses and particles, has most of the elements of human-made air pollution: ground-level ozone, various forms of carbon, nitrogen oxides, sulfur oxides, volatile organic compounds, polycyclic aromatic hydrocarbons, and fine particulate matter.
Ozone, an atmospheric gas, is often called smog when at ground level. It is created when pollutants emitted by cars, power plants, industrial boilers, refineries, and other sources chemically react in the presence of sunlight.
Noxious gases, which include carbon dioxide, carbon monoxide, nitrogen oxides (NOx), and sulfur oxides (SOx), are components of motor vehicle emissions and byproducts of industrial processes.





Image courtesy of EPA 

Particulate matter (PM) is composed of chemicals such as sulfates, nitrates, carbon, or mineral dusts. Vehicle and industrial emissions from fossil fuel combustion, cigarette smoke, and burning organic matter, such as wildfires, all contain PM.
A subset of PM, fine particulate matter (PM 2.5) is 30 times thinner than a human hair. It can be inhaled deeply into lung tissue and contribute to serious health problems. PM 2.5 accounts for most health effects due to air pollution in the U.S.
Volatile organic compounds (VOC) vaporize at or near room temperature—hence, the designation volatile. They are called organic because they contain carbon. VOCs are given off by paints, cleaning supplies, pesticides, some furnishings, and even craft materials like glue. Gasoline and natural gas are major sources of VOCs, which are released during combustion.
Polycyclic aromatic hydrocarbons (PAH) are organic compounds containing carbon and hydrogen. Of more than 100 PAHs known to be widespread in the environment, 15 are listed in the Report on Carcinogens. In addition to combustion, many industrial processes, such as iron, steel, and rubber product manufacturing, as well as power generation, also produce PAHs as a by-product. PAHs are also found in particulate matter.
Air Pollution and Climate Change
Air pollution and climate change affect each other through complex interactions in the atmosphere. Air pollution is intricately linked with climate change because both problems come largely from the same sources, such as emissions from burning fossil fuels. Both are threats to people’s health and the environment worldwide. Read more: Health Impacts of Air Quality."
2,Air Pollution and Your Health,What Is NIEHS Doing?,"Over its 50-plus year history, NIEHS has been a leader in air pollution research. The institute continues to fund and conduct research into how air pollution affects health and the population groups who are most affected."
3,Air Pollution and Your Health,What Is Air Pollution?,Air pollution is a mix of hazardous substances from both human-made and natural sources.
4,Air Pollution and Your Health,What Is Air Pollution?,"Vehicle emissions, fuel oils and natural gas to heat homes, by-products of manufacturing and power generation, particularly coal-fueled power plants, and fumes from chemical production are the primary sources of human-made air pollution."
5,Air Pollution and Your Health,What Is Air Pollution?,"Nature releases hazardous substances into the air, such as smoke from wildfires, which are often caused by people; ash and gases from volcanic eruptions; and gases, like methane, which are emitted from decomposing organic matter in soils."
6,Air Pollution and Your Health,What Is Air Pollution?,"Traffic-Related Air Pollution (TRAP), a mixture of gasses and particles, has most of the elements of human-made air pollution: ground-level ozone, various forms of carbon, nitrogen oxides, sulfur oxides, volatile organic compounds, polycyclic aromatic hydrocarbons, and fine particulate matter."
7,Air Pollution and Your Health,What Is Air Pollution?,"Ozone, an atmospheric gas, is often called smog when at ground level. It is created when pollutants emitted by cars, power plants, industrial boilers, refineries, and other sources chemically react in the presence of sunlight."
8,Air Pollution and Your Health,What Is Air Pollution?,"Noxious gases, which include carbon dioxide, carbon monoxide, nitrogen oxides (NOx), and sulfur oxides (SOx), are components of motor vehicle emissions and byproducts of industrial processes."
9,Air Pollution and Your Health,What Is Air Pollution?,Image courtesy of EPA
