,title,sub_title,description
0,Causes of Climate Change,Human Versus Natural Causes,"It is unequivocal that human influence has warmed the atmosphere, ocean and land.- Intergovernmental Panel on Climate Change4"
1,Causes of Climate Change,Human Versus Natural Causes,"Scientists have pieced together a record of the earth’s climate by analyzing a number of indirect measures of climate, such as ice cores, tree rings, glacier lengths, pollen remains, and ocean sediments, and by studying changes in the earth’s orbit around the sun.2 This record shows that the climate varies naturally over a wide range of time scales, but this variability does not explain the observed warming since the 1950s. Rather, it is extremely likely (> 95%) that human activities have been the dominant cause of that warming.3"
2,Causes of Climate Change,Human Versus Natural Causes,Human activities have contributed substantially to climate change through:
3,Causes of Climate Change,Human Versus Natural Causes,"Greenhouse Gas Emissions
Reflectivity or Absorption of the Sun’s Energy"
4,Causes of Climate Change,Natural Processes,"Natural processes are always influencing the earth’s climate and can explain climate changes prior to the Industrial Revolution in the 1700s. However, recent climate changes cannot be explained by natural causes alone."
5,Causes of Climate Change,Heat-trapping Greenhouse Gases And The Earth's Climate,"Source: Smithsonian National Museum of Natural History, 2018"
6,Causes of Climate Change,Greenhouse Gases,"Concentrations of the key greenhouse gases have all increased since the Industrial Revolution due to human activities. Carbon dioxide, methane, and nitrous oxide concentrations are now more abundant in the earth’s atmosphere than any time in the last 800,000 years.5 These greenhouse gas emissions have increased the greenhouse effect and caused the earth’s surface temperature to rise. Burning fossil fuels changes the climate more than any other human activity."
7,Causes of Climate Change,Greenhouse Gases,"Carbon dioxide: Human activities currently release over 30 billion tons of carbon dioxide into the atmosphere every year.6 Atmospheric carbon dioxide concentrations have increased by more than 40 percent since pre-industrial times, from approximately 280 parts per million (ppm) in the 18th century7 to 414 ppm in 2020.8"
8,Causes of Climate Change,Greenhouse Gases,"Methane: Human activities increased methane concentrations during most of the 20th century to more than 2.5 times the pre-industrial level, from approximately 722 parts per billion (ppb) in the 18th century9 to 1,867 ppb in 2019.10"
9,Causes of Climate Change,Greenhouse Gases,"Nitrous oxide: Nitrous oxide concentrations have risen approximately 20 percent since the start of the Industrial Revolution, with a relatively rapid increase toward the end of the 20th century. Nitrous oxide concentrations have increased from a pre-industrial level of 270 ppb11 to 332 ppb in 2019.12"
10,Causes of Climate Change,Greenhouse Gases,"For more information on greenhouse gas emissions, see the Greenhouse Gas Emissions website. To learn more about actions that can reduce these emissions, see What You Can Do. To translate abstract greenhouse gas emissions measurements into concrete terms, try using EPA's Greenhouse Gas Equivalencies Calculator."
11,Causes of Climate Change,Greenhouse Gases,"This graph shows the increase in atmospheric concentrations of three of the key greenhouse gases over the last 2,000 years. Increases in concentrations of these gases since 1750 are due to human activities in the industrial era. Source: U.S. EPA, Climate Change Indicators in the United States: Atmospheric Concentrations of Greenhouse Gases, 2021."
