,title,sub_title,description
0,Pollution facts for kids,Air pollution,"Air pollution is caused by poisonous gases, sulphur dioxide, nitrogen dioxide, carbon monoxide, and very small particulates. It is also caused by the smoke and harmful gases released by the fires that make vehicles and factories go. Use of coal, wood, and kerosene as fuels for fire also causes air pollution. Air pollution may cause breathing problems such as asthma or other health problems. It also causes diseases like cancer."
1,Pollution facts for kids,Air pollution,
2,Pollution facts for kids,Air pollution,"Air pollution causes global warming and acid rain. It results in increased temperatures, erratic rains, and drought worldwide. This makes it difficult for living organisms to survive."
3,Pollution facts for kids,Water pollution,"Water pollution is the presence of harmful materials in water, such as sewage, dissolved metals, waste from farms or factories, and crude oil spilled from oil tankers. The three main substances that pollute water are nitrates from fertilizers, sewage, and detergents."
4,Pollution facts for kids,Water pollution,"Activities such as bathing and washing clothes near lakes, ponds, or rivers add nutrients like nitrogen and phosphorous into water. This leads to the growth of too much algae on the surface of the water. This algae blocks the penetration of sunlight and air into the water."
5,Pollution facts for kids,Water pollution,"Pollution causes harm to organisms living in water and can also harm people's health. In extreme cases, it may cause problems such as cancer."
6,Pollution facts for kids,Noise pollution,"Noise pollution, also known as sound pollution, is noise that is harmful to humans and animals. This includes the sound of vehicles, loudspeakers, etc. Noise pollution can cause ear problems or even permanent deafness, especially in older people."
7,Pollution facts for kids,Soil pollution or land pollution,"Soil pollution (also known as land pollution) is when man-made chemicals, such as hydrocarbons, heavy metals, or solvents get into the soil. These chemicals come from industrial activities and poor waste management. Soil pollution may cause health risks. The chemicals can produce harmful vapors, or they can contaminate water supplies underneath the polluted soil."
8,Pollution facts for kids,Pollution control,"A litter trap catches floating waste in the Yarra River, east-central Victoria, Australia."
9,Pollution facts for kids,Pollution control,"Air pollution control system, known as a Thermal oxidizer, decomposes hazardous gases from industrial air streams at a factory in the United States of America."
10,Pollution facts for kids,Pollution control,"A dust collector in Pristina, Kosovo"
11,Pollution facts for kids,Pollution control,Gas nozzle with vapor recovery
12,Pollution facts for kids,Pollution control,A Mobile Pollution Check Vehicle in India
13,Pollution facts for kids,Pollution control,"Pollution control is a term used in environmental management. It means the control of emissions and effluents into air, water, or soil. Without pollution control, the waste products from overconsumption, heating, agriculture, mining, manufacturing, transportation, and other human activities could degrade the environment. It is believed that pollution prevention and waste minimization are better than pollution control."
