,title,sub_title,description
0,Ocean pollution and marine debris,"Each year, billions of pounds of trash and other pollutants enter the ocean.","Focus areas:


Education





Topics:


education

marine debris

ocean










Share:

Share to Twitter
Share to Facebook
Share by email
Print"
1,Ocean pollution and marine debris,"Each year, billions of pounds of trash and other pollutants enter the ocean.","Sea to Sky: Education resource database 
Keep exploring! Find even more resources on ocean pollution and marine debris in our searchable resource database.








Lessons & activities



Educational resources from NOAA Marine Debris Program (ES, MS, HS, college)
 Plastic pollution and you: An interdisciplinary curriculum to explore our role in plastic pollution (ES, MS, HS)
Winged Ambassadors: Plastic pollution through the eyes of albatross (MS, HS) offsite link
""Be an Ocean Guardian"" activity book (ES)
From shore to State House: Marine debris undergraduate curriculum (college)
Annual Marine Debris Program art contest (ES, MS)
An educator's guide to marine debris (ES, MS, HS) (English & Spanish)
Understanding marine debris activity book (ES, MS) (English & Thai)
Prevention: Traveling through trash (ES, MS) offsite link
Marine debris STEAMSS (ES, MS, HS) offsite link
Trash shouldn't splash toolkit (ES, MS, HS) offsite link
Turtle Trash Collectors Program activities guide and resources (ES, MS, HS)
Talking trash and taking action (ES, MS, HS)
Earth Genius marine debris lesson plans (ES)







Multimedia



Ocean Today: Trash talk (video collection)
How to start school waste sorting stations (2 minutes)
Garbage patches: How gyres take our trash out to sea (podcast)
Students offer solutions to marine debris problems in Great Lakes (video)
Trash in the deep - encountered by NOAA Ship Okeanos Explorer (video)
Ocean Today: Dead zone in the Gulf 2015 (video)
Microworlds: Why do fish get sick? (video) offsite link
Ocean Today: Can you hear me? Noise pollution (video)
Ocean Today: Predicting harmful algal blooms (video)
Ocean Today: Saving a bay (video)
National Marine Sanctuaries media library (photos, videos, virtual dives)
Plastics in the ocean: Facts, fiction, and unknowns (70 minute webinar)
NOAA Marine Debris Toolkit for Educators: Citizen science & community action into an educational setting (60 minute webinar)
NOAA Live! Alaska: Talking Trash: Marine Debris Research in Alaska (63 minute webinar)
Ocean Today: TRASH TALK - Full Moon Watch Party (62 minute webinar)
Turtle Trash Collectors interactive program video (50 minutes)







Data resources



Pollution incident map
Marine Debris Tracker mobile app offsite link
Restoration project maps 
 Gulf of Mexico pollution and habitat atlas
Gulf of Mexico hypoxia watch
Harmful algal blooms maps
Visualizing how ocean currents help create the garbage patches
Ecosystem forecasting hotspots







Background information



Introduction to harmful algal blooms
Ocean nonpoint source pollution tutorial
Marine debris: Discover the issue
Posters and brochures from NOAA Marine Debris
Understanding noise pollution
Gulf oil spill restoration projects story maps
Google Earth tour about marine debris
What and where are garbage patches?







Career resources



Alexis Temkin: Searching for links between Deepwater Horizon and human health offsite link
Meet Marine Debris Program research analyst Carlie Herring







Related stories



NOAA Marine Debris Program blog
Hurricane debris prevention and preparedness in Puerto Rico: A Girls in Sciences project (2021)
Preventing marine debris One Cool Earth strategy at a time (2021)
Using citizen science to understand marine debris (2021)
Food for thought: Taking a bite out of lunchroom waste (2021)
Plastic in paradise (2021)
Working together for debris-free Great Lakes (2020)
50 years later: Clearing tires from Cocos Lagoon (2020)
Derelict fishing gear research and recovery with Fishing for Energy (2019)
How beach cleanups help keep microplastics out of the garbage patches (2015)
How do you keep killer whales away from an oil spill? (2016)













More Collections



Oil spills
Ocean floor features
Ocean acidification
Tsunamis
Tides


Ocean currents


Show more
Show less"
2,Ocean pollution and marine debris,"Each year, billions of pounds of trash and other pollutants enter the ocean.","Each year, billions of pounds of trash and other pollutants enter the ocean. Where does this pollution come from? Where does it go? Some of the debris ends up on our beaches, washed in with the waves and tides. Some debris sinks, some is eaten by marine animals that mistake it for food, and some accumulates in ocean gyres. Other forms of pollution that impact the health of the ocean come from sources like oil spills or from accumulation of many dispersed sources, such as fertilizer from our yards."
3,Ocean pollution and marine debris,"Each year, billions of pounds of trash and other pollutants enter the ocean.","Litter such as plastic detergent bottles, crates, buoys, combs, and water bottles blanket Kanapou Bay, on the Island of Kaho’olawe in Hawaii. This region is a hot-spot for marine debris accumulation. (Image credit: NOAA)



Download Image"
4,Ocean pollution and marine debris,"Each year, billions of pounds of trash and other pollutants enter the ocean.","Where does pollution come from?
The majority of pollutants that make their way into the ocean come from human activities along the coastlines and far inland. One of the biggest sources of pollution is nonpoint source pollution, which occurs as a result of runoff. Nonpoint source pollution can come from many sources, like septic tanks, vehicles, farms, livestock ranches, and timber harvest areas. Pollution that comes from a single source, like an oil or chemical spill, is known as point source pollution. Point source pollution events often have large impacts, but fortunately, they occur less often. Discharge from faulty or damaged factories or water treatment systems is also considered point source pollution.


















NOAA is developing underwater robots to map, measure toxicity of Great Lakes algal blooms


                  Two underwater robots were deployed to autonomously monitor and measure the toxicity of harmful algal blooms in the Great Lakes. 
                












Nutrients and algal blooms: Too much of a good thing?
Sometimes it is not the type of material, but its concentration that determines whether a substance is a pollutant. For example, the nutrients nitrogen and phosphorus are essential elements for plant growth. However, if they are too abundant in a body of water, they can stimulate an overgrowth of algae, triggering an event called an algal bloom. Harmful algal blooms (HABs), also known as “red tides,” grow rapidly and produce toxic effects that can affect marine life and sometimes even humans. Excess nutrients entering a body of water, either through natural or human activities, can also result in hypoxia or dead zones. When large amounts of algae sink and decompose in the water, the decomposition process consumes oxygen and depletes the supply available to healthy marine life. Many of the marine species that live in these areas either die or, if they are mobile (such as fish), leave the area.
Using ecological forecasting, NOAA is able to predict changes in ecosystems in response to HABs and other environmental drivers. These forecasts provide information about how people, economies, and communities may be affected. For example, the Harmful Algal Bloom Monitoring System developed by NOAA’s National Centers for Coastal Ocean Science provides information to the public and local authorities to help decide whether beaches need to be closed temporarily to protect public health.


















Creating a social norm: A student-designed program to reduce marine debris


                  In 2015, fifth graders from Falmouth, Massachusetts, noticed a problem. Although millions of metric tons of plastic waste were entering the ocean each year, the people around them kept using single-use plastics. In short, plastics were the norm. To address this problem, the students worked with Falmouth Water Stewards to create a campaign called “Skip the Straw.”
                












Marine debris
Marine debris is a persistent pollution problem that reaches throughout the entire ocean and Great Lakes. Our ocean and waterways are polluted with a wide variety of marine debris, ranging from tiny microplastics, smaller than 5 mm, to derelict fishing gear and abandoned vessels. Worldwide, hundreds of marine species have been negatively impacted by marine debris, which can harm or kill an animal when it is ingested or they become entangled, and can threaten the habitats they depend on. Marine debris can also interfere with navigation safety and potentially pose a threat to human health.
All marine debris comes from people with a majority of it originating on land and entering the ocean and Great Lakes through littering, poor waste management practices, storm water discharge, and extreme natural events such as tsunamis and hurricanes. Some debris, such as derelict fishing gear, can also come from ocean-based sources. This lost or abandoned gear is a major problem because it can continue to capture and kill wildlife, damage sensitive habitats, and even compete with and damage active fishing gear.
Local, national, and international efforts are needed to address this environmental problem. The Save our Seas Act of 2018 amends and reauthorizes the Marine Debris Act to promote international action, authorize cleanup and response actions, and increase coordination among federal agencies on this topic.












Garbage patches: What and where are they?
Garbage patches are large areas of the ocean where trash, fishing gear, and other marine debris collects. The term “garbage patch” is a misleading nickname, making many believe that garbage patches are ""islands of trash"" that are visible from afar. These areas are actually made up of debris ranging in size, from microplastics to large bundles of derelict fishing gear.
These patches are formed by large, rotating ocean currents called gyres that pull debris into one location, often to the gyre’s center. There are five gyres in the ocean: one in the Indian Ocean, two in the Atlantic Ocean, and two in the Pacific Ocean. Garbage patches of varying sizes are located in each gyre. Due to winds and currents, garbage patches are constantly changing size and shape. The debris making up the garbage patches can be found from the surface of the ocean all the way to the ocean floor.


















Encouraging tomorrow’s environmental leaders today


                  A healthy ocean starts with us. Learn how student leaders in American Samoa interned as part of a microplastics research project to protect ocean health.
                












The impact of marine pollution on seafood
Heavy metals and other contaminants can accumulate in seafood, making it harmful for humans to consume. Microplastics can be ingested by fish and other species that filter their food out of the water. With more than one-third of the shellfish-growing waters of the United States adversely affected by coastal pollution, it’s important for NOAA and it’s partners to study the impacts of microplastics and harmful contaminants in seafood. There is ongoing research around the country focusing on the potential risk to wildlife and humans from debris exposure and ingestion. NOAA monitors seafood contamination and provides safety tips through the FishWatch program.


















Students of all ages stemmed the tide of trash


                  Trash seems to be everywhere … blowing in the streets, perching in trees above creeks, and washing ashore on our nation’s coasts. Maybe that’s because people in the U.S. generated 262 million tons of solid waste in 2015 with about 13% of that being plastics — that’s equivalent to nearly 21 million school buses.
                












EDUCATION CONNECTION
Whether humans live near the coasts or far inland, they are a part of the problem — and the solution — to ocean pollution. Through this collection of resources and information, students can be informed of the types of pollution harming our ocean, and learn about actions they can take to prevent further pollution no matter where they live. The NOAA Marine Debris Program provides many educational resources for educators, students, families, and adults to help better understand this global issue."
5,Ocean pollution and marine debris,"Each year, billions of pounds of trash and other pollutants enter the ocean.","Sea to Sky: Education resource database 
Keep exploring! Find even more resources on ocean pollution and marine debris in our searchable resource database.








Lessons & activities



Educational resources from NOAA Marine Debris Program (ES, MS, HS, college)
 Plastic pollution and you: An interdisciplinary curriculum to explore our role in plastic pollution (ES, MS, HS)
Winged Ambassadors: Plastic pollution through the eyes of albatross (MS, HS) offsite link
""Be an Ocean Guardian"" activity book (ES)
From shore to State House: Marine debris undergraduate curriculum (college)
Annual Marine Debris Program art contest (ES, MS)
An educator's guide to marine debris (ES, MS, HS) (English & Spanish)
Understanding marine debris activity book (ES, MS) (English & Thai)
Prevention: Traveling through trash (ES, MS) offsite link
Marine debris STEAMSS (ES, MS, HS) offsite link
Trash shouldn't splash toolkit (ES, MS, HS) offsite link
Turtle Trash Collectors Program activities guide and resources (ES, MS, HS)
Talking trash and taking action (ES, MS, HS)
Earth Genius marine debris lesson plans (ES)







Multimedia



Ocean Today: Trash talk (video collection)
How to start school waste sorting stations (2 minutes)
Garbage patches: How gyres take our trash out to sea (podcast)
Students offer solutions to marine debris problems in Great Lakes (video)
Trash in the deep - encountered by NOAA Ship Okeanos Explorer (video)
Ocean Today: Dead zone in the Gulf 2015 (video)
Microworlds: Why do fish get sick? (video) offsite link
Ocean Today: Can you hear me? Noise pollution (video)
Ocean Today: Predicting harmful algal blooms (video)
Ocean Today: Saving a bay (video)
National Marine Sanctuaries media library (photos, videos, virtual dives)
Plastics in the ocean: Facts, fiction, and unknowns (70 minute webinar)
NOAA Marine Debris Toolkit for Educators: Citizen science & community action into an educational setting (60 minute webinar)
NOAA Live! Alaska: Talking Trash: Marine Debris Research in Alaska (63 minute webinar)
Ocean Today: TRASH TALK - Full Moon Watch Party (62 minute webinar)
Turtle Trash Collectors interactive program video (50 minutes)







Data resources



Pollution incident map
Marine Debris Tracker mobile app offsite link
Restoration project maps 
 Gulf of Mexico pollution and habitat atlas
Gulf of Mexico hypoxia watch
Harmful algal blooms maps
Visualizing how ocean currents help create the garbage patches
Ecosystem forecasting hotspots







Background information



Introduction to harmful algal blooms
Ocean nonpoint source pollution tutorial
Marine debris: Discover the issue
Posters and brochures from NOAA Marine Debris
Understanding noise pollution
Gulf oil spill restoration projects story maps
Google Earth tour about marine debris
What and where are garbage patches?







Career resources



Alexis Temkin: Searching for links between Deepwater Horizon and human health offsite link
Meet Marine Debris Program research analyst Carlie Herring







Related stories



NOAA Marine Debris Program blog
Hurricane debris prevention and preparedness in Puerto Rico: A Girls in Sciences project (2021)
Preventing marine debris One Cool Earth strategy at a time (2021)
Using citizen science to understand marine debris (2021)
Food for thought: Taking a bite out of lunchroom waste (2021)
Plastic in paradise (2021)
Working together for debris-free Great Lakes (2020)
50 years later: Clearing tires from Cocos Lagoon (2020)
Derelict fishing gear research and recovery with Fishing for Energy (2019)
How beach cleanups help keep microplastics out of the garbage patches (2015)
How do you keep killer whales away from an oil spill? (2016)













More Collections



Oil spills
Ocean floor features
Ocean acidification
Tsunamis
Tides


Ocean currents


Show more
Show less"
6,Ocean pollution and marine debris,Where does pollution come from?,"The majority of pollutants that make their way into the ocean come from human activities along the coastlines and far inland. One of the biggest sources of pollution is nonpoint source pollution, which occurs as a result of runoff. Nonpoint source pollution can come from many sources, like septic tanks, vehicles, farms, livestock ranches, and timber harvest areas. Pollution that comes from a single source, like an oil or chemical spill, is known as point source pollution. Point source pollution events often have large impacts, but fortunately, they occur less often. Discharge from faulty or damaged factories or water treatment systems is also considered point source pollution."
7,Ocean pollution and marine debris,Nutrients and algal blooms: Too much of a good thing?,"Sometimes it is not the type of material, but its concentration that determines whether a substance is a pollutant. For example, the nutrients nitrogen and phosphorus are essential elements for plant growth. However, if they are too abundant in a body of water, they can stimulate an overgrowth of algae, triggering an event called an algal bloom. Harmful algal blooms (HABs), also known as “red tides,” grow rapidly and produce toxic effects that can affect marine life and sometimes even humans. Excess nutrients entering a body of water, either through natural or human activities, can also result in hypoxia or dead zones. When large amounts of algae sink and decompose in the water, the decomposition process consumes oxygen and depletes the supply available to healthy marine life. Many of the marine species that live in these areas either die or, if they are mobile (such as fish), leave the area."
8,Ocean pollution and marine debris,Nutrients and algal blooms: Too much of a good thing?,"Using ecological forecasting, NOAA is able to predict changes in ecosystems in response to HABs and other environmental drivers. These forecasts provide information about how people, economies, and communities may be affected. For example, the Harmful Algal Bloom Monitoring System developed by NOAA’s National Centers for Coastal Ocean Science provides information to the public and local authorities to help decide whether beaches need to be closed temporarily to protect public health."
9,Ocean pollution and marine debris,Marine debris,"Marine debris is a persistent pollution problem that reaches throughout the entire ocean and Great Lakes. Our ocean and waterways are polluted with a wide variety of marine debris, ranging from tiny microplastics, smaller than 5 mm, to derelict fishing gear and abandoned vessels. Worldwide, hundreds of marine species have been negatively impacted by marine debris, which can harm or kill an animal when it is ingested or they become entangled, and can threaten the habitats they depend on. Marine debris can also interfere with navigation safety and potentially pose a threat to human health."
