,title,sub_title,description
0,Particulate air pollution is the single greatest threat to human health globally.,How Does Particulate Air Pollution Impact Health?,"Particulate matter (PM) refers to solid and liquid particles – soot, smoke, dust, and others – that are suspended in the air. When the air is polluted with PM, these particles enter the respiratory system along with the oxygen that the body needs."
1,Particulate air pollution is the single greatest threat to human health globally.,How Does Particulate Air Pollution Impact Health?,"When PM is breathed into the nose or mouth, each particle’s fate depends on its size: the finer the particles, the farther into the body they penetrate. PM10, particles with diameters smaller than 10 micrometers (μm) whose concentration in the air is included in measures of “total suspended matter” (TSP), are small enough to pass through the hairs in the nose. They travel down the respiratory tract and into the lungs, where the metal elements on the surface of the particles oxidize lung cells, damaging their DNA and increasing the risk of cancer.[1] The particles’ interactions with lung cells can also lead to inflammation, irritation, and blocked airflow, increasing the risk of or aggravating lung diseases that make breathing difficult, such as chronic obstructive pulmonary disorder (COPD), cystic lung disease, and bronchiectasis.[2]"
2,Particulate air pollution is the single greatest threat to human health globally.,How Does Particulate Air Pollution Impact Health?,"More deadly is an even smaller classification: PM2.5, or particles with diameter less than 2.5 μm—just 3 percent the diameter of a human hair. In addition to contributing to risk of lung disease, PM2.5 particles pass even deeper into the lungs’ alveoli, the blood vessel-covered air sacs in which the bloodstream exchanges oxygen for carbon dioxide. Once PM2.5 particles enter the bloodstream via the alveoli, they inflame and constrict blood vessels or dislodge fatty plaque, increasing blood pressure or creating clots. This can block blood flow to the heart and brain, and over time, lead to stroke or heart attack. In recent years, researchers have even begun to observe that PM pollution is associated with lower cognitive function. They speculate that PM2.5 in the bloodstream may cause the brain to age more quickly due to the inflammation. In addition, it may damage the brain’s white matter, which is what allows different regions of the brain to communicate.[3] White matter damage, such as due to the decreased blood flow that PM2.5 may cause, has been linked to Alzheimer’s and dementia.[4]"
3,Particulate air pollution is the single greatest threat to human health globally.,How Does Particulate Air Pollution Impact Health?,
4,Particulate air pollution is the single greatest threat to human health globally.,How Does Particulate Air Pollution Impact Health?,"The tiny size of PM2.5 particles not only makes them harmful from a physiological perspective, but also allows these particles to stay in the air potentially for weeks and to travel hundreds or thousands of kilometers.[5] This increases the likelihood that the particles will end up inhaled by humans before depositing onto the ground."
5,Particulate air pollution is the single greatest threat to human health globally.,How Does Particulate Air Pollution Impact Health?,
6,Particulate air pollution is the single greatest threat to human health globally.,How Does Particulate Air Pollution Impact Health?,"The Air Quality Life Index translates long-term exposure to particulate pollution concentrations into their impact on life expectancy. The AQLI’s core finding is that sustained exposure to an additional 10 micrograms per cubic meter (μg/m3) of PM2.5 reduces life expectancy by 0.98 years.  This means that Shanghai’s residents could expect to live 2.3 years longer if it permanently reduced concentrations to the WHO guideline. In the United States, where the severity of particulate pollution is generally relatively small compared to that in many other countries, California’s Central Valley residents could expect to live up to six months longer than they currently would if particulate pollution in the city were reduced to the WHO guideline."
7,Particulate air pollution is the single greatest threat to human health globally.,How Does Particulate Air Pollution Impact Health?,
8,Particulate air pollution is the single greatest threat to human health globally.,How Does Particulate Air Pollution Stack Up Against Other Health Threats?,"Though we know it is possible for people to live to 80, 90, or even longer, the average infant born in 2019 is expected to live to be 73.  Life expectancies are cut short for many reasons, including illnesses such as smoking, tuberculosis, and HIV/AIDS—some of the most deadly culprits. The AQLI shows that particulate air pollution cuts life expectancy shorter than all of these causes."
9,Particulate air pollution is the single greatest threat to human health globally.,How Does Particulate Air Pollution Stack Up Against Other Health Threats?,"According to the AQLI, if current particulate pollution levels persist, today’s global population will lose a total of 16.9 billion years of life directly due to this particulate pollution. That means, the average person loses about 2.2 years of life. But, if particulate pollution around the world was reduced to the WHO guideline of 10 μg/m3 and everything else stayed the same, global average life expectancy at birth would increase by 2.2 years to about 75 years."
