,title,sub_title,description
0,Backgrounder on Radioactive Waste,High-Level Waste,"High-level radioactive waste primarily is uranium fuel that has been used in a nuclear power reactor and is ""spent,"" or no longer efficient in producing electricity. Spent fuel is thermally hot as well as highly radioactive and requires remote handling and shielding. Nuclear reactor fuel contains ceramic pellets of uranium-235 inside of metal rods. Before these fuel rods are used, they are only slightly radioactive and may be handled without special shielding."
1,Backgrounder on Radioactive Waste,High-Level Waste,"During the fission process, two things happen to the uranium in the fuel. First, uranium atoms split, creating energy that is used to produce electricity. The fission creates radioactive isotopes of lighter elements such as cesium-137 and strontium-90. These isotopes, called ""fission products,"" account for most of the heat and penetrating radiation in high-level waste. Second, some uranium atoms capture neutrons produced during fission. These atoms form heavier elements such as plutonium. These heavier-than-uranium, or ""transuranic,"" elements do not produce nearly the amount of heat or penetrating radiation that fission products do, but they take much longer to decay. Transuranic wastes, sometimes called TRU, account for most of the radioactive hazard remaining in high-level waste after 1,000 years."
2,Backgrounder on Radioactive Waste,High-Level Waste,"Radioactive isotopes eventually decay, or disintegrate, to harmless materials. Some isotopes decay in hours or even minutes, but others decay very slowly. Strontium-90 and cesium-137 have half-lives of about 30 years (half the radioactivity will decay in 30 years). Plutonium-239 has a half-life of 24,000 years."
3,Backgrounder on Radioactive Waste,High-Level Waste,"High-level wastes are hazardous because they produce fatal radiation doses during short periods of direct exposure. For example, 10 years after removal from a reactor, the surface dose rate for a typical spent fuel assembly exceeds 10,000 rem/hour – far greater than the fatal whole-body dose for humans of about 500 rem received all at once. If isotopes from these high-level wastes get into groundwater or rivers, they may enter food chains. The dose produced through this indirect exposure would be much smaller than a direct-exposure dose, but a much larger population could be exposed."
4,Backgrounder on Radioactive Waste,High-Level Waste,"Reprocessing separates residual uranium and plutonium from the fission products. The uranium and plutonium can be used again as fuel. Most of the high-level waste (other than spent fuel) generated over the last 35 years has come from reprocessing fuel from government-owned plutonium production reactors and from naval, research and test reactors. A small amount of liquid high-level waste was generated from reprocessing commercial power reactor fuel in the 1960s and early 1970s. There is no commercial reprocessing of nuclear power fuel in the United States at present; almost all existing commercial high-level waste is unreprocessed spent fuel."
5,Backgrounder on Radioactive Waste,High-Level Waste,
6,Backgrounder on Radioactive Waste,Storage and Disposal,"All U.S. nuclear power plants store spent nuclear fuel in ""spent fuel pools."" These pools are made of reinforced concrete several feet thick, with steel liners. The water is typically about 40 feet deep and serves both to shield the radiation and cool the rods."
7,Backgrounder on Radioactive Waste,Storage and Disposal,Dry Cask Storage of Spent Fuel
8,Backgrounder on Radioactive Waste,Storage and Disposal,"As the pools near capacity, utilities move some of the older spent fuel into ""dry cask"" storage. These casks are stainless steel canisters surrounded by concrete. Fuel is typically cooled at least five years in the pool before transfer to cask. NRC has authorized transfer as early as three years; the industry norm is about 10 years. The NRC certifies cask designs and licenses dry cask storage facilities for up to 40 years. The certifications and licenses can be renewed."
9,Backgrounder on Radioactive Waste,Storage and Disposal,The NRC believes spent fuel pools and dry casks both provide adequate protection for public health and safety and the environment. Therefore there is no pressing safety or security reason to mandate earlier transfer of fuel from pool to cask.
