,title,sub_title,description
0,Radioactive Waste Management,Types of radioactive waste,"Radioactive waste includes any material that is either intrinsically radioactive, or has been contaminated by radioactivity, and that is deemed to have no further use. Government policy dictates whether certain materials – such as used nuclear fuel and plutonium – are categorized as waste."
1,Radioactive Waste Management,Types of radioactive waste,"Every radionuclide has a half-life – the time taken for half of its atoms to decay, and thus for it to lose half of its radioactivity. Radionuclides with long half-lives tend to be alpha and beta emitters – making their handling easier – while those with short half-lives tend to emit the more penetrating gamma rays. Eventually all radioactive waste decays into non-radioactive elements. The more radioactive an isotope is, the faster it decays. Radioactive waste is typically classified as either low-level (LLW), intermediate-level (ILW), or high-level (HLW), dependent, primarily, on its level of radioactivity."
2,Radioactive Waste Management,Where and when is waste produced?,(See also information page on The Nuclear Fuel Cycle.)
3,Radioactive Waste Management,Where and when is waste produced?,"Radioactive waste is produced at all stages of the nuclear fuel cycle – the process of producing electricity from nuclear materials. The fuel cycle involves the mining and milling of uranium ore, its processing and fabrication into nuclear fuel, its use in the reactor, its reprocessing (if conducted), the treatment of the used fuel taken from the reactor, and finally, disposal of the waste. Whilst waste is produced during mining and milling and fuel fabrication, the majority (in terms of radioactivity) comes from the actual 'burning' of uranium to produce electricity. Where the used fuel is reprocessed, the amount of waste is reduced materially."
4,Radioactive Waste Management,Treatment and conditioning,(See also information page on Treatment and Conditioning of Nuclear Waste)
5,Radioactive Waste Management,Treatment and conditioning,"Treatment involves operations intended to change waste streams’ characteristics to improve safety or economy. Treatment techniques may involve compaction to reduce volume, filtration or ion exchange to remove radionuclide content, or precipitation to induce changes in composition."
6,Radioactive Waste Management,Treatment and conditioning,"Conditioning is undertaken to change waste into a form that is suitable for safe handling, transportation, storage, and disposal. This step typically involves the immobilisation of waste in containers. Liquid LLW and ILW are typically solidified in cement, whilst HLW is calcined/dried then vitrified in a glass matrix. Immobilized waste will be placed in a container suitable for its characteristics."
7,Radioactive Waste Management,Storage and disposal,(See also information page on Storage and Disposal of Radioactive Waste.)
8,Radioactive Waste Management,Storage and disposal,"Storage of waste may take place at any stage during the management process. Storage involves maintaining the waste in a manner such that it is retrievable, whilst ensuring it is isolated from the external environment. Waste may be stored to make the next stage of management easier (for example, by allowing its natural radioactivity to decay). Storage facilities are commonly onsite at the power plant, but may be also be separate from the facility where it was produced."
9,Radioactive Waste Management,Storage and disposal,"Disposal of waste takes place when there is no further foreseeable use for it, and in the case of HLW, when radioactivity has decayed to relatively low levels after about 40-50 years."
10,Radioactive Waste Management,Funding waste management,Nuclear power is the only large-scale energy-producing technology that takes full responsibility for all its waste and fully costs this into the product. Financial provisions are made for managing all kinds of civilian radioactive waste. The cost of managing and disposing of nuclear power plant waste typically represents about 5% of the total cost of the electricity generated.
11,Radioactive Waste Management,Funding waste management,"Most nuclear utilities are required by governments to put aside a levy (e.g. 0.1 cents per kilowatt hour in the USA, 0.14 ¢/kWh in France) to provide for the management and disposal of their waste."
