 ,Sub Topic,Description,Url
Acid Rain,"
  What is Acid Rain?
","Acid rain, or acid deposition, is a broad term that includes any form of precipitation with acidic components, such as sulfuric or nitric acid that fall to the ground from the atmosphere in wet or dry forms.  This can include rain, snow, fog, hail or even dust that is acidic.  ",https://www.epa.gov/acidrain/what-acid-rain
Acid Rain,<h2>What Causes Acid Rain?</h2>,"[<p>Acid rain results when sulfur dioxide (SO<sub>2</sub>) and nitrogen oxides (NO<sub>X</sub>) are emitted into the atmosphere and transported by wind and air currents. The SO<sub>2</sub> and NO<sub>X</sub> react with water, oxygen and other chemicals to form sulfuric and nitric acids.  These then mix with water and other materials before falling to the ground.</p>, <p>While a small portion of the SO<sub>2</sub> and NO<sub>X</sub> that cause acid rain is from natural sources such as volcanoes, most of it comes from the burning of fossil fuels.  The major sources of SO<sub>2</sub> and NO<sub>X</sub> in the atmosphere are:</p>, <p>Winds can blow SO<sub>2</sub> and NO<sub>X</sub> over long distances and across borders making acid rain a problem for everyone and not just those who live close to these sources. </p>, <p>Wet deposition is what we most commonly think of as <em><strong>acid rain</strong></em>. The sulfuric and nitric acids formed in the atmosphere fall to the ground mixed with rain, snow, fog, or hail.  </p>, <p>Acidic particles and gases can also deposit from the atmosphere in the absence of moisture as <strong><em>dry deposition</em></strong>. The acidic particles and gases may deposit to surfaces (water bodies, vegetation, buildings) quickly or may react during atmospheric transport to form larger particles that can be harmful to human health. When the accumulated acids are washed off a surface by the next rain, this acidic water flows over and through the ground, and can harm plants and wildlife, such as insects and fish.</p>, <p>The amount of acidity in the atmosphere that deposits to earth through dry deposition depends on the amount of rainfall an area receives.  For example, in desert areas the ratio of dry to wet deposition is higher than an area that receives several inches of rain each year.</p>, <p>Policymakers, research scientists, ecologists, and modelers rely on the National Atmospheric Deposition Program’s (NADP) National Trends Network (NTN) for measurements of wet deposition. The NADP/NTN collects acid rain at more than 250 monitoring sites throughout the US, Canada, Alaska, Hawaii and the US Virgin Islands. Unlike wet deposition, dry deposition is difficult and expensive to measure. Dry deposition estimates for nitrogen and sulfur pollutants are provided by the Clean Air Status and Trends Network (CASTNET). Air concentrations are measured by CASTNET at more than 90 locations.</p>, <p>When acid deposition is washed into lakes and streams, it can cause some to turn acidic. The Long-Term Monitoring (LTM) Network measures and monitors surface water chemistry at over 280 sites to provide valuable information on aquatic ecosystem health and how water bodies respond to changes in acid-causing emissions and acid deposition.</p>, <p>Next, learn about the <a href=""/acidrain/effects-acid-rain"">Effects of Acid Rain</a>.</p>, <p>Or, learn more about:</p>]",https://www.epa.gov/acidrain/what-acid-rain
Acid Rain,<h2>Forms of Acid Deposition</h2>,"[<p>Wet deposition is what we most commonly think of as <em><strong>acid rain</strong></em>. The sulfuric and nitric acids formed in the atmosphere fall to the ground mixed with rain, snow, fog, or hail.  </p>, <p>Acidic particles and gases can also deposit from the atmosphere in the absence of moisture as <strong><em>dry deposition</em></strong>. The acidic particles and gases may deposit to surfaces (water bodies, vegetation, buildings) quickly or may react during atmospheric transport to form larger particles that can be harmful to human health. When the accumulated acids are washed off a surface by the next rain, this acidic water flows over and through the ground, and can harm plants and wildlife, such as insects and fish.</p>, <p>The amount of acidity in the atmosphere that deposits to earth through dry deposition depends on the amount of rainfall an area receives.  For example, in desert areas the ratio of dry to wet deposition is higher than an area that receives several inches of rain each year.</p>, <p>Policymakers, research scientists, ecologists, and modelers rely on the National Atmospheric Deposition Program’s (NADP) National Trends Network (NTN) for measurements of wet deposition. The NADP/NTN collects acid rain at more than 250 monitoring sites throughout the US, Canada, Alaska, Hawaii and the US Virgin Islands. Unlike wet deposition, dry deposition is difficult and expensive to measure. Dry deposition estimates for nitrogen and sulfur pollutants are provided by the Clean Air Status and Trends Network (CASTNET). Air concentrations are measured by CASTNET at more than 90 locations.</p>, <p>When acid deposition is washed into lakes and streams, it can cause some to turn acidic. The Long-Term Monitoring (LTM) Network measures and monitors surface water chemistry at over 280 sites to provide valuable information on aquatic ecosystem health and how water bodies respond to changes in acid-causing emissions and acid deposition.</p>, <p>Next, learn about the <a href=""/acidrain/effects-acid-rain"">Effects of Acid Rain</a>.</p>, <p>Or, learn more about:</p>]",https://www.epa.gov/acidrain/what-acid-rain
Acid Rain,<h2>Measuring Acid Rain</h2>,"[<p>Policymakers, research scientists, ecologists, and modelers rely on the National Atmospheric Deposition Program’s (NADP) National Trends Network (NTN) for measurements of wet deposition. The NADP/NTN collects acid rain at more than 250 monitoring sites throughout the US, Canada, Alaska, Hawaii and the US Virgin Islands. Unlike wet deposition, dry deposition is difficult and expensive to measure. Dry deposition estimates for nitrogen and sulfur pollutants are provided by the Clean Air Status and Trends Network (CASTNET). Air concentrations are measured by CASTNET at more than 90 locations.</p>, <p>When acid deposition is washed into lakes and streams, it can cause some to turn acidic. The Long-Term Monitoring (LTM) Network measures and monitors surface water chemistry at over 280 sites to provide valuable information on aquatic ecosystem health and how water bodies respond to changes in acid-causing emissions and acid deposition.</p>, <p>Next, learn about the <a href=""/acidrain/effects-acid-rain"">Effects of Acid Rain</a>.</p>, <p>Or, learn more about:</p>]",https://www.epa.gov/acidrain/what-acid-rain
Air Pollution,What Is Air Pollution?,"Air pollution refers to the release of pollutants into the air—pollutants which are detrimental to human health and the planet as a whole. According to the World Health Organization (WHO), each year air pollution is responsible for nearly seven million deaths around the globe. Nine out of ten human beings currently breathe air that exceeds the WHO’s guideline limits for pollutants, with those living in low- and middle-income countries suffering the most. In the United States, the Clean Air Act, established in 1970, authorizes the U.S. Environmental Protection Agency (EPA) to safeguard public health by regulating the emissions of these harmful air pollutants.",https://www.nrdc.org/stories/air-pollution-everything-you-need-know
Air Pollution,What Causes Air Pollution?,"“Most air pollution comes from energy use and production,” says John Walke, director of the Clean Air Project, part of the Climate and Clean Energy program at NRDC. “Burning fossil fuels releases gases and chemicals into the air.” And in an especially destructive feedback loop, air pollution not only contributes to climate change but is also exacerbated by it. “Air pollution in the form of carbon dioxide and methane raises the earth’s temperature,” Walke says. “Another type of air pollution, smog, is then worsened by that increased heat, forming when the weather is warmer and there’s more ultraviolet radiation.” Climate change also increases the production of allergenic air pollutants, including mold (thanks to damp conditions caused by extreme weather and increased flooding) and pollen (due to a longer pollen season).“We’ve made progress over the last 50 years improving air quality in the United States thanks to the Clean Air Act,” says Kim Knowlton, senior scientist and deputy director of the NRDC Science Center. “But climate change will make it harder in the future to meet pollution standards, which are designed to protect health.”",https://www.nrdc.org/stories/air-pollution-everything-you-need-know
Air Pollution,Effects of Air Pollution,"The effects of air pollution on the human body vary depending on the type of pollutant and the length and level of exposure—as well as other factors, including a person’s individual health risks and the cumulative impacts of multiple pollutants or stressors.Smog and sootThese are the two most prevalent types of air pollution. Smog (sometimes referred to as ground-level ozone) occurs when emissions from combusting fossil fuels react with sunlight. Soot (also known as particulate matter) is made up of tiny particles of chemicals, soil, smoke, dust, or allergens—in the form of either gas or solids—that are carried in the air. The sources of smog and soot are similar. “Both come from cars and trucks, factories, power plants, incinerators, engines, generally anything that combusts fossil fuels such as coal, gas, or natural gas,” Walke says.Smog can irritate the eyes and throat and also damage the lungs, especially those of children, senior citizens, and people who work or exercise outdoors. It’s even worse for people who have asthma or allergies: these extra pollutants can intensify their symptoms and trigger asthma attacks. The tiniest airborne particles in soot, whether gaseous or solid, are especially dangerous because they can penetrate the lungs and bloodstream and worsen bronchitis, lead to heart attacks, and even hasten death. In 2020 a report from Harvard’s T. H. Chan School of Public Health showed COVID-19 mortality rates in areas with more soot pollution were higher than in areas with even slightly less, showing a correlation between the virus’s deadliness and long-term exposure to fine particulate matter and illuminating an environmental justice issue.Because highways and polluting facilities have historically been sited in or next to low-income neighborhoods and communities of color, the negative effects of this pollution have been disproportionately experienced by the people who live in these communities. In 2019 the Union of Concerned Scientists found that soot exposure was 34 percent higher for Asian Americans, on average, than for other Americans. For Black people, the exposure rate was 24 percent higher; for Latinos, 23 percent higher.Hazardous air pollutantsA number of air pollutants pose severe health risks and can sometimes be fatal even in small amounts. Almost 200 of them are regulated by law; some of the most common are mercury, lead, dioxins, and benzene. “These are also most often emitted during gas or coal combustion, incinerating, or—in the case of benzene—found in gasoline,” Walke says. Benzene, classified as a carcinogen by the EPA, can cause eye, skin, and lung irritation in the short term and blood disorders in the long term. Dioxins, more typically found in food but also present in small amounts in the air, can affect the liver in the short term and harm the immune, nervous, and endocrine systems as well as reproductive functions. Mercury attacks the central nervous system. In large amounts, lead can damage children’s brains and kidneys, and even minimal exposure can affect children’s IQ and ability to learn.Another category of toxic compounds, polycyclic aromatic hydrocarbons (PAHs), are by-products of traffic exhaust and wildfire smoke. In large amounts they have been linked to eye and lung irritation, blood and liver issues, and even cancer. In one study, the children of mothers exposed to PAHs during pregnancy showed slower brain-processing speeds and more pronounced symptoms of ADHD.Greenhouse gasesBy trapping the earth’s heat in the atmosphere, greenhouse gases lead to warmer temperatures, which in turn lead to the hallmarks of climate change: rising sea levels, more extreme weather, heat-related deaths, and the increased transmission of infectious diseases. In 2018 carbon dioxide accounted for 81 percent of the country’s total greenhouse gas emissions, and methane made up 10 percent. “Carbon dioxide comes from combusting fossil fuels, and methane comes from natural and industrial sources, including large amounts that are released during oil and gas drilling,” Walke says. “We emit far larger amounts of carbon dioxide, but methane is significantly more potent, so it’s also very destructive.” Another class of greenhouse gases, hydrofluorocarbons (HFCs), are thousands of times more powerful than carbon dioxide in their ability to trap heat. In October 2016 more than 140 countries reached an agreement to reduce the use of these chemicals—which are found in air conditioners and refrigerators—and develop greener alternatives over time. Though President Trump was unwilling to sign on to this agreement, a bipartisan group of senators overrode his objections in 2020 and set the United States on track to slash HFCs by 85 percent by 2035. According to David Doniger, senior strategic director of NRDC’s Climate and Clean Energy program, “the agreed-to HFC phasedown will avoid the equivalent of more than 80 billion tons of carbon dioxide over the next 35 years.”Pollen and moldMold and allergens from trees, weeds, and grass are also carried in the air, are exacerbated by climate change, and can be hazardous to health. Though they aren’t regulated and are less directly connected to human actions, they can be considered a form of air pollution. “When homes, schools, or businesses get water damage, mold can grow and can produce allergenic airborne pollutants,” Knowlton says. “Mold exposure can precipitate asthma attacks or an allergic response, and some molds can even produce toxins that would be dangerous for anyone to inhale.”Pollen allergies are worsening because of climate change. “Lab and field studies are showing that pollen-producing plants—especially ragweed—grow larger and produce more pollen when you increase the amount of carbon dioxide that they grow in,” Knowlton says. “Climate change also extends the pollen production season, and some studies are beginning to suggest that ragweed pollen itself might be becoming a more potent allergen.” If so, more people will suffer runny noses, fevers, itchy eyes, and other symptoms.Air pollution is now the world’s fourth-largest risk factor for early death. According to the most recent State of Global Air report—which summarizes the latest scientific understanding of air pollution around the world—4.5 million deaths were linked to outdoor air pollution exposures in 2019, and another 2.2 million deaths were caused by indoor air pollution. “Despite improvements in reducing global average mortality rates from air pollution, the world’s most populous countries, India and China, continue to bear the highest burdens of disease,” says Vijay Lamaye, staff scientist at the NRDC Science Center. “This report is a sobering reminder that the climate crisis threatens to worsen air pollution problems significantly if we fail to act to cut carbon pollution.”        View this post on Instagram            A post shared by NRDC (@nrdc_org)",https://www.nrdc.org/stories/air-pollution-everything-you-need-know
Air Pollution,Air Pollution in the United States,"Some four out of ten U.S. residents—135 million people—live in counties with unhealthy levels of air pollution, according to the 2021 State of the Air report by the American Lung Association (ALA). Since the annual report was first published, in 2000, its findings have shown how the Clean Air Act has been able to reduce harmful emissions from transportation, power plants, and manufacturing.Recent findings, however, reflect how climate change–fueled wildfires and extreme heat are adding to the challenges of protecting public health. The latest report—which focuses on ozone, year-round particle pollution, and short-term particle pollution—also finds that people of color are 61 percent more likely than white people to live in a county with a failing grade in at least one of those categories, and three times more likely to live in a county that fails in all three.In rankings for each of the three pollution categories covered by the ALA report, California cities occupy the top three slots (i.e., were highest in pollution) despite significant gains the Golden State has made in the past half-century. At the other end of the spectrum, Burlington, Vermont; Honolulu; and Wilmington, North Carolina, consistently rank among the country’s best cities for air quality. (You can check the air quality of your own city or state on this map.)",https://www.nrdc.org/stories/air-pollution-everything-you-need-know
Air Pollution,Air Pollution and Environmental Justice,"No one wants to live next door to an incinerator, oil refinery, port, toxic waste dump, or other polluting site. Yet millions of people around the world do, and this puts them at a much higher risk for respiratory disease, cardiovascular disease, neurological damage, cancer, and death. In the United States, people of color are 1.5 times more likely than whites to live in areas with poor air quality, according to the ALA.Historically, racist zoning policies and the discriminatory lending practices known as redlining have combined to keep polluting industries and car-choked highways away from white neighborhoods and have turned communities of color—especially poor and working-class communities of color—into sacrifice zones where residents are forced to breathe dirty air and suffer the many health problems associated with it. In addition to the increased health risks that come from living in such places, members of these communities experience economic harm in the form of missed workdays, higher medical costs, and local underinvestment.Environmental racism isn't limited to cities and industrial areas. Outdoor laborers, including the estimated three million migrant and seasonal farmworkers in the United States, are among the most vulnerable to air pollution—and also among the least equipped, politically, to pressure employers and lawmakers to affirm their right to breathe clean air.Recently, cumulative impact mapping, which uses data on environmental conditions and demographics, has been able to show how some communities are overburdened with layers of issues, like high levels of poverty, unemployment, and pollution. Tools like the Environmental Justice Screening Method and the EPA’s EJSCREEN provide evidence of what many environmental justice communities have been explaining for decades: that we need land-use and public health reforms to ensure that vulnerable areas are not overburdened and that the people who need resources most are receiving them.",https://www.nrdc.org/stories/air-pollution-everything-you-need-know
Air Pollution,Controlling Air Pollution,"In the United States, the Clean Air Act has been a crucial tool for reducing air pollution since its passage in 1970, although fossil-fuel interests aided by industry-friendly lawmakers have frequently attempted to weaken its many protections. Ensuring that this bedrock environmental law remains intact and properly enforced will always be key to maintaining and improving our air quality.But the best, most effective way to control air pollution is to speed up our transition to cleaner fuels and industrial processes. By switching over to renewable energy sources (such as wind and solar power), maximizing fuel efficiency in our vehicles, and replacing more and more of our gasoline-powered cars and trucks with electric versions, we'll be limiting air pollution at its source while also curbing the global warming that heightens so many of its worst health impacts.And what about the economic costs of controlling air pollution? According to a report on the Clean Air Act commissioned by NRDC, the annual benefits of cleaner air are up to 32 times greater than the cost of clean-air regulations. Those benefits include up to 370,000 avoided premature deaths, 189,000 fewer hospital admissions for cardiac and respiratory illnesses, and net economic benefits of up to $3.8 trillion for the U.S. economy every year.",https://www.nrdc.org/stories/air-pollution-everything-you-need-know
