,Col1,Col2,Col3,Col4
0,Indoor Air Quality,Health & Education,"Health & Education

Brochures & Fact Sheets




If you are giving a presentation about an environmental health topic or 
							just looking for general information about environmental health research or the institute, this page will help.
						


Explore Brochures & Fact Sheets





Environmental Health Topics





Explore Environmental Health Topics


Conditions & Diseases
Environmental Agents
Environmental Health Science Basics
Environmental Health Sciences Glossary
Nutrition, Health, and Your Environment
Population Research
Temas Sobre Salud Ambiental






Science Education





Explore Science Education


For Educators
For Scientists
For Students
NIEHS Campus Tours & Information Sessions
Science Education & Diversity
Speakers Bureau






Kids Environment | Kids Health




A resource for kids, parents, and teachers to find fun and educational materials related to health, science, and the environment 
							we live in today.
						


Explore Kids Environment | Kids Health









NIEHS is committed to conducting the most rigorous research in environmental health sciences, and to communicating the results of this research to the public.
Explore Health & Education",https://www.niehs.nih.gov/health/topics/agents/indoor-air/index.cfm
1,Indoor Air Quality,Research,"Research

At NIEHS




Explore At NIEHS



Branches & Laboratories
Intramural Research Division
Translational Toxicology Division
Shared and Core Facilities
All Scientists
All Research Groups






Clinical Research





Explore Clinical Research


Clinical Center, Maryland
Clinical Research Unit, North Carolina
Participant Protections
Studies






Funded by NIEHS Grants





Explore Funded by NIEHS Grants


About the Extramural Research and Training Division
Centers, Interagency Collaborations, and Consortia
Environmental Exposure Research
Epidemiology Resources
Health Impacts Research
Institutional Research Training
Researcher-Centered
Stories of Success
Time-Sensitive Research Opportunities in Environmental Health
Translational Science, Outreach, and Education
What's New
Who We Fund






Initiatives in Environmental Health Science





Explore Initiatives in Environmental Health Science


Climate Change and Human Health
Coronavirus Research and Information From NIEHS
Disaster Research Response (DR2) Program
Diversity, Equity, Inclusion and Accessibility (DEIA)
Environmental Health Disparities & Environmental Justice (EHD-EJ) Faculty
Environmental Health Language Collaborative
Environmental Influences on Child Health Outcomes (ECHO)
Faculty for Advancing Neuroscience (FAN) Cross-divisional Group
Global Environmental Health
Gulf Oil Spill Response Efforts
Inflammation Faculty
NIH RADx Efforts at NIEHS
PFAS Research
Translational Research at NIEHS
Women's Health Awareness






Resources for Scientists





Explore Resources for Scientists


Articles and Journals
Bioethics
Databases
Electron Paramagnetic Resonance/Electron Spin Resonance (EPR/ESR)
Glossaries
International Myositis Assessment & Clinical Studies Group (IMACS)
Library & Information Services
Protocols
Seminars, Conferences, & Symposia
Software
Technology Transfer
Training and Visual Guides






Scientific Data





Explore Scientific Data


Data Management and Sharing Plan Development
Data Management and Sharing Policies
Data Science Funding Opportunities
Frequently Asked Questions
Maximizing the Value of Scientific Data
Scientific Data Resources






What We Study




NIEHS intramural scientists have defined descriptive terms of particular relevance to their own research, and have ranked those terms accordingly. This search feature obtains best-matches with the terms you choose, and shows an overall score based on the scientific rankings.
View our page to search various areas of interest and methodology.


Explore What We Study









NIEHS research uses state-of-the-art science and technology to investigate the interplay between environmental exposures, human biology, genetics, and common diseases to help prevent disease and improve human health.
Explore Research",https://www.niehs.nih.gov/health/topics/agents/indoor-air/index.cfm
2,Indoor Air Quality,Funding Opportunities,"Funding Opportunities

Grants





Explore Grants


Announcements of Grant Opportunities
Contacts for Applicants
Instructions & Resources
Mechanisms & Guidelines
NIEHS-Funded Grants & Priorities
Peer Review






Contracts & Acquisitions





Explore Contracts & Acquisitions


Reaching Acquisitions
Research and Development Contracts 
Station Support Active Contracts










NIEHS provides many opportunities for funding to individual researchers, organizations, and businesses.
Explore Funding Opportunities",https://www.niehs.nih.gov/health/topics/agents/indoor-air/index.cfm
3,Indoor Air Quality,Careers & Training,"Careers & Training

Research Training





Explore Research Training


Fellow Recruitment
Fellows' Career Development
NIEHS Scholars Connect Program
NIEHS Medical Student Research Fellowships
NIH Summer Internship Program
Postdoctoral Training Opportunities in Translational Toxicology
Trainees Assembly
Training, Fellowship, and Career Awards






HAZMAT Safety & Training





Explore HAZMAT Safety & Training


About the Worker Training Program (WTP)
Clearinghouse
Funding Opportunities
Meetings & Workshops
National Response & Disaster Recovery
Other Links & Resources
Program Highlights
Training Program Areas
Where We Train
Who We Fund






Jobs at NIEHS




NIEHS has a goal to ensure job opportunities and career enhancements programs for both our work force and our community.
						


Explore Jobs at NIEHS









NIEHS offers a broad range of job opportunities, career enhancement programs, and research training grants and programs in environmental health sciences and administration.
Explore Careers & Training",https://www.niehs.nih.gov/health/topics/agents/indoor-air/index.cfm
4,Indoor Air Quality,News & Events,"News & Events

Events





        				NIEHS sponsors and co-sponsors scientific meetings, conferences, and events throughout the year. 
        				These meetings are listed in the NIEHS Events Calendar and are open to the general public.			
					


Explore Events





Live Webcasts





Webcasts

There are no webcasts currently scheduled.



Video Support






News Room





Explore News Room


Interviews
News Releases
Photos & Biographies, B-roll
RSS News Feeds
Subscribe






Newsletters




Explore Newsletters



Environmental Factor
Environmental Health Perspectives
Global Environmental Health
National Toxicology Program Update Newsletter
Partnerships for Environmental Public Health
Superfund Research Program Science Digest






Podcasts




Download or play NIEHS Health Chat's with a wide range of experts and topics.


Explore Podcasts





Video





Explore Video


Climate Change and Health
Disaster Research Response (DR2)
Diversity Speaker Series
Environmental Health Disparities and Environmental Justice
Grantee Meetings
Interviews with Scientists
National Toxicology Program Videos
NIEHS Council Meetings
Press Events & Ceremonies
Science & Training Videos
Scientific Seminars
Social Media Shorts
Women's Health Awareness
Worker Protections










Find out about the exciting discoveries being made by NIEHS and NIEHS-supported researchers that are helping to improve health and save lives.
Explore News & Events",https://www.niehs.nih.gov/health/topics/agents/indoor-air/index.cfm
5,Indoor Air Quality,About NIEHS,"About NIEHS

Office of the Director





Explore Office of the Director


Director
Deputy Director
Communications & Public Liaison
Environmental Health Perspectives
Environmental Science Cyberinfrastructure
Information Technology
NIEHS Values
Scientific Coordination, Planning and Evaluation (SCOPE)






Organizational Structure





Explore Organizational Structure


Management
Staff Directory






Strategic Plan 2018-2023





Explore Strategic Plan 2018-2023


Theme One: Advancing Environmental Health Sciences
Theme Two: Promoting Translation – Data to Knowledge to Action
Theme Three: Enhancing EHS Through Stewardship and Support
Strategic Plan 2024-2028
Strategic Plan 2012-2017
Strategic Plan 2006-2011
Informatics and Information Technology Strategic Roadmap






Advisory Boards & Councils





Explore Advisory Boards & Councils


Board of Scientific Counselors
Clinical Advisory Committee
Environmental Health Sciences Review Committee
Institutional Biosafety Committee
National Advisory Environmental Health Sciences Council






Community Involvement





Explore Community Involvement


Community Forums
Donations to NIEHS
NIEHS Partners






Congress





Explore Congress


Congressional Justification
Legislative Liaison
Public Laws






Environmental Stewardship





Explore Environmental Stewardship


About Discovery Lake
Environmental Management Programs
Environmental Management System Frequently Asked Questions
Environmental Policy Statement
Green Champion Award






Freedom of Information Act





Explore Freedom of Information Act








History





Explore History


Milestones Timeline
NIEHS 50th Anniversary
NIH Office of History - NIEHS Interviews
Papers of the Year
Past Directors and Nobel Laureate
Photo Gallery
Research Highlights






Visiting NIEHS





Explore Visiting NIEHS


Scooters for the Disabled
Shipping and Delivery Information
WELL Building Health & Safety Rating










The National Institute of Environmental Health Sciences (NIEHS) is expanding and accelerating its contributions to scientific knowledge of human health and the environment, and to the health and well-being of people everywhere.
Explore About NIEHS",https://www.niehs.nih.gov/health/topics/agents/indoor-air/index.cfm
6,Indoor Air Quality,Your Environment. Your Health.,,https://www.niehs.nih.gov/health/topics/agents/indoor-air/index.cfm
7,Indoor Air Quality,Webcasts,There are no webcasts currently scheduled.,https://www.niehs.nih.gov/health/topics/agents/indoor-air/index.cfm
8,Indoor Air Quality,Introduction,,https://www.niehs.nih.gov/health/topics/agents/indoor-air/index.cfm
9,Indoor Air Quality,Introduction,"We tend to think of air pollution as a risk faced outside, but the air we breathe indoors can also be polluted. Smoke, vapors, mold, and chemicals used in certain paints, furnishings, and cleaners can all affect indoor air quality and our health.",https://www.niehs.nih.gov/health/topics/agents/indoor-air/index.cfm
10,Indoor Air Quality,Introduction,"Buildings affect overall well-being because most people spend most of their time inside. The U.S. Environmental Protection Agency estimates Americans are indoors 90% of their time – in built environments such as homes, schools, workplaces, places of worship, or gyms.",https://www.niehs.nih.gov/health/topics/agents/indoor-air/index.cfm
11,Indoor Air Quality,Introduction,"Environmental health researchers study how indoor air quality affects human health and well-being. Studies suggest that indoor concentrations of air pollutants are increasing, driven by factors such as the types of chemicals in home products, inadequate ventilation, hotter temperatures, and higher humidity.",https://www.niehs.nih.gov/health/topics/agents/indoor-air/index.cfm
12,Indoor Air Quality,Introduction,"Indoor air quality is a global issue. Both short- and long-term exposure to indoor air pollution can cause a range of health issues, including respiratory diseases, heart disease, cognitive deficits, and cancer. As one prominent example, the World Health Organization estimates 3.8 million people worldwide die every year from illnesses attributable to harmful indoor air from dirty cookstoves and fuel.",https://www.niehs.nih.gov/health/topics/agents/indoor-air/index.cfm
13,Indoor Air Quality,Introduction,"Certain populations may be affected more than others. Children, older adults, individuals with preexisting conditions, Native Americans, and households of low socioeconomic status are often exposed to higher levels of indoor pollutants.",https://www.niehs.nih.gov/health/topics/agents/indoor-air/index.cfm
14,Indoor Air Quality,Introduction,Types of Pollutants,https://www.niehs.nih.gov/health/topics/agents/indoor-air/index.cfm
15,Indoor Air Quality,Introduction,,https://www.niehs.nih.gov/health/topics/agents/indoor-air/index.cfm
16,Indoor Air Quality,Introduction,"Many factors contribute to poor indoor air quality. Indoor air includes pollutants that penetrate from the outdoors, as well as sources that are unique to the indoor environment. These sources involve:",https://www.niehs.nih.gov/health/topics/agents/indoor-air/index.cfm
17,Indoor Air Quality,Introduction,"Human activities within buildings, such as smoking, burning solid fuels, cooking, and cleaning.
Vapors from building and construction materials, equipment, and furniture.
Biological contaminants, such as mold, viruses, or allergens.",https://www.niehs.nih.gov/health/topics/agents/indoor-air/index.cfm
18,Indoor Air Quality,Introduction,Some contaminants are described below:,https://www.niehs.nih.gov/health/topics/agents/indoor-air/index.cfm
19,Indoor Air Quality,Introduction,"Allergens are substances that can trigger the immune system, causing an allergic reaction; they can circulate in air and remain on carpets and furniture for months.
Asbestos is a fibrous material formerly used for making incombustible or fireproof building materials, such as roof shingles, siding, and insulation. Disturbing asbestos minerals or asbestos-containing materials can release fibers, often too small to see, into the air. Asbestos is known to be a human carcinogen.
Carbon monoxide is an odorless and toxic gas. It is found in fumes produced any time you burn fuel in cars or trucks, small engines, stoves, lanterns, grills, fireplaces, gas ranges, or furnaces. Proper venting or exhaust systems prevent build up in the air.
Formaldehyde is a strong-smelling chemical found in some pressed wood furniture, wood particle cabinets, flooring, carpets, and fabrics. It can also be a component of some glues, adhesives, paints, and coating products. Formaldehyde is known to be a human carcinogen.
Lead is a naturally occurring metal that has been used in a wide variety of products including gasoline, paint, plumbing pipes, ceramics, solders, batteries, and even cosmetics.
Mold is a microorganism and type of fungus that thrives in damp places; different molds are found everywhere, indoors and outside.
Pesticides are substances used to kill, repel, or control certain forms of plants or bugs that are considered to be pests.
Radon is a colorless, odorless, naturally occurring gas that comes from the decay of radioactive elements in soils. It can enter indoor spaces through cracks or gaps in buildings. Most exposures occur inside homes, schools, and workplaces. EPA estimates radon is responsible for about 21,000 U.S. deaths from lung cancer annually.
Smoke, a byproduct of combustion processes, such as from cigarettes, cookstoves, and wildfires, contains toxic chemicals like formaldehyde and lead.",https://www.niehs.nih.gov/health/topics/agents/indoor-air/index.cfm
20,Indoor Air Quality,What Is NIEHS Doing?,"NIEHS supports research on the health effects of indoor air pollutants, such as those listed above, found in homes, schools, and workplaces. Because individuals move between indoor and outdoor environments, researchers are also developing specialized technologies to measure and collect data on personal exposures.",https://www.niehs.nih.gov/health/topics/agents/indoor-air/index.cfm
21,Indoor Air Quality,What Is NIEHS Doing?,Respiratory Disease,https://www.niehs.nih.gov/health/topics/agents/indoor-air/index.cfm
